timestamp,stage,command,run_dir,exit_code,official_net,gross_minus_cost,preference_penalty,decision
2026-06-03T23:05:10,E0_B0_rescue,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E0_B0_rescue --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E0_B0_rescue,0,5067.69,43207.69,38140.0,keep_b0_reference
2026-06-03T23:06:42,E1_compile_log_only_noop,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E1_compile_log_only_noop --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E1_compile_log_only_noop,0,5067.69,43207.69,38140.0,diagnostic_retain_family
2026-06-03T23:07:59,E2_monitor_update_only_noop,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E2_monitor_update_only_noop --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E2_monitor_update_only_noop,0,5067.69,43207.69,38140.0,diagnostic_retain_family
2026-06-03T23:14:22,E3_preference_delta_scorer_only_no_repair,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E3_preference_delta_scorer_only_no_repair --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E3_preference_delta_scorer_only_no_repair,0,-38088.76,28951.25,67040.0,kill_below_pref_forge_retention_gate
2026-06-03T23:20:27,E4_avoid_limit_shield_only,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E4_avoid_limit_shield_only --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E4_avoid_limit_shield_only,0,-38088.76,28951.25,67040.0,kill_below_pref_forge_retention_gate
2026-06-03T23:22:42,E5_high_quality_order_hunter_only,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E5_high_quality_order_hunter_only --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E5_high_quality_order_hunter_only,0,2344.92,43964.92,41620.0,diagnostic_retain_family
2026-06-03T23:26:20,E5_high_quality_order_hunter_only,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E5_high_quality_order_hunter_only_v2 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E5_high_quality_order_hunter_only_v2,0,-113776.57,82103.43,195880.0,diagnostic_retain_family
2026-06-03T23:30:40,E5_high_quality_order_hunter_only,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E5_high_quality_order_hunter_only_v3 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E5_high_quality_order_hunter_only_v3,0,-64719.98,67220.02,131940.0,diagnostic_retain_family
2026-06-03T23:33:53,E5_high_quality_order_hunter_only,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E5_high_quality_order_hunter_only_v4 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E5_high_quality_order_hunter_only_v4,0,2902.75,44522.75,41620.0,diagnostic_retain_family
2026-06-03T23:36:57,E5_high_quality_order_hunter_only,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E5_high_quality_order_hunter_only_v5 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E5_high_quality_order_hunter_only_v5,0,-68469.6,69950.4,138420.0,diagnostic_retain_family
2026-06-03T23:40:41,E5_high_quality_order_hunter_only,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E5_high_quality_order_hunter_only_v6 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E5_high_quality_order_hunter_only_v6,0,2902.75,44522.75,41620.0,diagnostic_retain_family
2026-06-03T23:43:40,E5_high_quality_order_hunter_only,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E5_high_quality_order_hunter_only_v7 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E5_high_quality_order_hunter_only_v7,0,2902.75,44522.75,41620.0,diagnostic_retain_family
2026-06-03T23:47:11,E5_high_quality_order_hunter_only,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E5_high_quality_order_hunter_only_v8 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E5_high_quality_order_hunter_only_v8,0,2902.75,44522.75,41620.0,diagnostic_retain_family
2026-06-03T23:49:47,E5_high_quality_order_hunter_only,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E5_high_quality_order_hunter_only_v9 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E5_high_quality_order_hunter_only_v9,0,-1332.9,46887.1,48220.0,diagnostic_retain_family
2026-06-03T23:53:04,E5_high_quality_order_hunter_only,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E5_high_quality_order_hunter_only_v10 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E5_high_quality_order_hunter_only_v10,0,48.63,45868.63,45820.0,diagnostic_retain_family
2026-06-03T23:55:50,E5_high_quality_order_hunter_only,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E5_high_quality_order_hunter_only_v11 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E5_high_quality_order_hunter_only_v11,0,-2269.02,42630.97,44900.0,kill_below_pref_forge_retention_gate
2026-06-03T23:58:38,E5_high_quality_order_hunter_only,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E5_high_quality_order_hunter_only_v12 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E5_high_quality_order_hunter_only_v12,0,829.8,44249.8,43420.0,diagnostic_retain_family
2026-06-04T00:02:15,E5_high_quality_order_hunter_only,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\pref_forge\eval_20260529\E5_high_quality_order_hunter_only_v13 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,runs/pref_forge/eval_20260529/E5_high_quality_order_hunter_only_v13,0,-1332.9,46887.1,48220.0,diagnostic_retain_family
